"company_name","phone_number","location"
"HCL IT City,Lucknow","1800 200 1118","SEZ Unit-I, Ground & (Partial) First Floor, IT Block No. 3, Village Kanjehara & Chack Gajaria Farms, Sultanpur Road, Mastemau, Lucknow, Uttar Pradesh 226002"
"HCLTech","N/A","Village Kanjehara & Chack Gajaria Farms, Sultanpur Rd, Mastemau, Lucknow, Uttar Pradesh 226002"
"IDC Technologies","N/A","Sultanpur Rd, near Gattani Petrol Pump, Arjunganj, Lucknow, Uttar Pradesh 226002"
"SAS ONE","093051 78146","2nd Floor, Crystal Tower, Sultanpur Rd, above SAS Hyundai, Arjunganj, Lucknow, Uttar Pradesh 226002"
"Laraware Pvt Ltd I Top Software Development Company In India | Best Fintech Company","N/A","8th floor at, Cyber Heights, No. 801, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
"SigmaIT Software Designers Pvt Ltd.","099569 73891","2/517, Vijay Khand Rd, Vijay Khand, Ujariyaon, Vijay Khand 2, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
"Duplex Technologies Services Pvt Ltd: Best Software and Mobile apps Development Company in Lucknow - ERP, CRM, Website Design","094520 00089","SF-1, 2nd Floor, Adharshila Complex, Kursi Hwy, Shekhupura, Aliganj, Lucknow, Uttar Pradesh 226024"
"HCL IT-03","N/A","Q2VF+4XV, Mastemau, Uttar Pradesh 226002"
"Signature IT Software Designers","086682 10745","Sikka House D 2/50,51,52, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
"MTNB Technologies","088969 40279","Office No 402, Second Floor, 1, Shopping Square Rd, Golf City, Bagiamau, Lucknow, Uttar Pradesh 226030"
"Zipex Technology Pvt. Ltd. || Best IT & Digital Marketing Company In Lucknow","096829 79899","A M Tower 2nd Floor, Tedhi Pulia Ring Rd, Khurram Nagar, chauraha, Uttar Pradesh 226022"
"Mind You Infotech: Best Software Development Company and Mobile App Development Company","095172 86642","UGF,Shop No.1,57 ,Om Sai Plaza, Harihar Nagar, Indira Nagar, Lucknow, Uttar Pradesh 226016"
"Skyview Smart Solutions- Best Website Designing | Software Development | Digital Marketing | SEO | IT Company in Lucknow","081157 66421","529, Hans Bhakti Dham, 39, Kamla Nehru Nagar, Khurram Nagar, Lucknow, Uttar Pradesh 226022"
"UXI360 InfoTech Private Limited","073938 63727","KP 4/417, 1, Awadhpuri Khand-2, Khargapur, Lucknow, Uttar Pradesh 226010"
"Atharva Tech Minds Pvt Limited |Exclusive GEM Partner | Government E-Marketplace | GeM IT Supplier","N/A","Aranya Estate, Plot no 67 - 68, Sultanpur Rd, near Law College, Bagiamau, Ahmamau, Lucknow, Uttar Pradesh 226030"
"IT CITY- LUCKNOW","N/A","Q2VH+H6Q, Lucknow - Sultanpur Rd, Mastemau, Uttar Pradesh 226002"
"Appinnovix Technologies :- Top Web And Mobile App development Agency In Lucknow | Digital Marketing Company | SEO Company","095111 81999","1/746, Vardan Khand, Sector 1, Gomti Nagar, Lucknow, Uttar Pradesh 226010"
"DigiCoders Technologies Private Limited, Best Software/Website/Mobile App Development Company in Lucknow","091984 83820","2nd Floor, B, 36, near Ram Ram Bank Chauraha, Sector O, Aliganj, Lucknow, Uttar Pradesh 226021"
"Invisor Technologies - Website & software Development | App development company | Digital Marketing company in lucknow","073092 52227","C-885, Mahanagar, Lucknow, Uttar Pradesh 226006"
"Sysfo Software Solutions Pvt. Ltd.","076074 20009","609, 6th Floor Millennium Place Mall, Golf City, Lucknow, Uttar Pradesh 226001"
"Maa Laptop Technology","078440 13398","KH No 602, Lucknow - Sultanpur Rd, Arjunganj, Lucknow, Uttar Pradesh 226002"
"HCL IT-01","N/A","Q2RF+QC9, Mastemau, Uttar Pradesh 226002"
