"company_name","phone_number","location"
"Smssofts Software & Website Development Company in Gurgaon","079707 56296","house 571, Sector 15 Part 1, Sector 15, Gurugram, Haryana 122001"
"TechPhosis Private Limited","N/A","TECHPHOSIS PRIVATE LIMITED, Ansal Palam Corporate Plaza, S-346, Block C 2, Palam Vihar, Gurugram, Haryana 122017"
"Info-X Software Technology Pvt. Ltd.","0124 430 3166","335, Udyog Vihar II Rd, near SBI, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016"
"NYGGS Construction ERP Software","073035 93999","Plot No, 872, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"Kellton Tech Solutions Limited","0124 469 8900","iLabs Centre, 404-405, near Radisson Hotel, Phase III, Udyog Vihar, Sector 20, Gurugram, Haryana 122016"
"C-Zentrix - Call Center Software, IVR, Dialer & Omnichannel Solution","093110 42121","496, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122001"
"Josh Technology Group","0124 437 6916","861, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"Raju Bros Softech Private Limited","088262 73552","A BLOCK, A-4B, Bajghera Rd, Block A, New Palam Vihar Phase 2, Sector 110, Gurugram, Haryana 122017"
"TecHealerz Solutions Private Limited","N/A","C2, 1229, Block C 2, Palam Vihar, Gurugram, Haryana 122017"
"Alisha Networks","077018 76658","1140, B-Block, C Block, Pocket B, Palam Vihar, Gurugram, Haryana 122017"
"Ketaki Technologies","096674 35592","Pocket F, Sector 2, Palam Vihar, Gurugram, Haryana 122017"
"Grihseva software development and solutions company","087096 26297","3rd Floor, Apna Bazar, 311B, Gurudwara Rd, Sadar Bazar, Roshan Pura, Gurugram, Haryana 122001"
"Truminds Software Systems","0124 400 7069","242-243, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
"Aithent Technologies Private Limited","0124 451 4600","Plot 8 & 9, Electronic City, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
"TRS Software Solutions Pvt Ltd","099537 72034","Metro Station-Palam, Colony, near Plan, Block J, Palam, New Delhi, Delhi, 110045"
"Nagarro","N/A","Plot 6B, Sub. Major Laxmi Chand Rd, Maruti Udyog, Sector 18, Sarhol, Gurugram, Haryana 122015"
"ISMEDU Software Solutions Pvt. Ltd.","092054 44090","204, 2nd Floor, TOWER-B, GLOBAL BUSINESS PARK, Mehrauli-Gurgaon Rd, near Guru Dronacharya Metro Station, Sikanderpur, Sector 26, Gurugram, Haryana 122002"
"Parv IT Solutions","095828 23434","S-75, Palam Vyapar Kendra, Pocket E, Sector 2, Palam Vihar, Gurugram, Haryana 122017"
"eXtendCode - Software Development Company","0124 426 1219","Plot 63, Second Floor, Udyog Vihar Phase -1,, Gurugram, Haryana 122015"
"LiveLake Education – Best School ERP, Apps & Smart Panels Provider","088600 14004","BLOCK - A, Ansal Corporate Plaza, TF - 427, Block C 2, Palam Vihar, Gurugram, Haryana 122017"
"Codevio Digital – IT & Software Company in Gurgaon","074280 36870","UNITECH CYBER PARK, Durga Colony, Sector 39, Gurugram, Haryana 122003"
"Think Future Technologies Pvt. Ltd","0124 280 7000","1st, AIHP Tower, 249G, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
"Quytech - Artificial intelligence | Blockchain | Mobile App | AR/VR","070422 95974","Plot 657, Udyog Vihar Phase V Rd, Udyog Vihar 3, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"Insoftsys | Software Development Company in Gurgaon","098110 04471","M-45, First Floor, Mehrauli-Gurgaon Rd, Block M, Old DLF Colony, Sector 14, Gurugram, Haryana 122007"
"RSB Systems Pvt Ltd","0124 234 7024","P, 52 HARTRON Complex, Electronic City, Sector 18, Gurugram, Haryana 122015"
"Guavus Network Systems (A Thales Company)","0124 454 8888","4th & 5th floor Enkay Tower Tower B & B1, Vanijya Nikunj, Udyog Vihar Phase V Rd, Sector 19, Gurugram, Haryana 122016"
"Alchemy Web Private Limited ( LimeTray)","N/A","2nd Floor, 815, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"Tech Blue Software Private Limited","0124 454 8383","6th Floor, AIHP Milestone, Plot 448-451, Rao Gajraj Singh Marg, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"iN Technologies Private Limited","0124 401 0155","494, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"DNS Digital Info services Pvt. Ltd. - Recharge and Bill Payment Online","0124 430 0497","H.No 397, Sector - 23, Near Gate No 2, Road, Palam Vihar, Gurugram, Haryana 122017"
"Targus Technologies","0124 474 2300","Plot No.218, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122016"
"Targus Technologies","0124 474 2300","Plot No.218, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122016"
"Mediology Software","0124 474 7500","Tower B, 4th Floor, ASF Towers, 249 D & E, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122016"
"JP Tokyo India","099105 55330","B-1283, C Block, Pocket B, Palam Vihar, Gurugram, Haryana 122017"
"Prologic First India Pvt. Ltd","0124 425 9700","578, Rao Gajraj Singh Marg, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"AppsAiT","097739 23302","Ashok Vihar, Phase II, Cartarpuri Alias Daulatpur Nas, Gurugram, Haryana 122001"
"Maxicus, Gurgaon","098770 98771","Plot No 86, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122001"
"CorporateServe Solutions Pvt. Ltd.- ERP Consulting and Implementation Services","098113 59356","408, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
"Web & Mobile App Development Company in Gurgaon - WEBIENT TECHNOLOGIES","090750 69326","97, 2nd Floor, Udyog Vihar Phase V Rd, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"Hashtrust Technologies Pvt. Ltd. - Gurugram","N/A","Plot no 511, first floor, Udyog Vihar Phase V Rd, Gurugram, Haryana 122016"
"Robust Infotech - IT Services | Digital Transformation | Best Website/Software Development Company","079829 14476","90B, Delhi - Jaipur Expy, Nitin Vihar, Udyog Vihar, Sector 18, Gurugram, Haryana 122008"
"Ezulix Software - Gurugram, Delhi NCR","072300 01613","Magnum Global Park, 1701A, Sector 58, Gurugram, Haryana 122011"
"Corewave- CRM, ERP, Mobile app, Software Development Company Gurgaon, Digital Marketing, SEO Company in Gurgaon","098106 76072","Tower B1, Sector 30 DLF, Silokhera, SEZ, Gurugram, Haryana 122001"
"Fiable Enterprises Pvt. Ltd.","098105 50680","K-100, K Block, New Palam Vihar Phase 1, Sector 110, Gurugram, Haryana 122017"
"AiSensy","N/A","3rd Floor, Building No. 22, Maison D' Auraine, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122016"
"AiSensy","N/A","3rd Floor, Building No. 22, Maison D' Auraine, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122016"
"EON Technologies Pvt Ltd","0124 234 5191","733, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"Z1 Tech","N/A","271 Phase, 4, Phase IV, Udyog Vihar, Sector 19, Gurugram, Haryana 122015"
"GANIT SOFTECH PVT. LTD.","092052 49558","181/3, The Pavilion Building 6th floor, Mehrauli-Gurgaon Rd, Anamika Enclave, Sector 14, Gurugram, Haryana 122007"
"Edyug Technology Private Limited","073919 64582","7TH FLOOR, NO 704, Palam Vihar Chowk, PALM COURT, Mehrauli-Gurgaon Rd, near DHOLA, Electronic City, Phase IV, Udyog Vihar, Sector 16, Gurugram, Haryana 122007"
"SofgenERP","093109 47081","2nd floor Tower A, SF 306-308, Vyapar Kendra Rd, Block C, DLF Garden Villas, Palam Vihar, Gurugram, Haryana 122017"
"Darkblue Devops Solutions Pvt Ltd","093195 37333","86, Block E-1, New Palam Vihar Phase 3, Gurugram, Haryana 122017"
"Planet PCI Infotech Ltd","N/A","Unit No: 287-288, 6th Floor, PRIME TOWER, Udyog Vihar II Rd, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016"
"Infodart Technologies Ltd","N/A","2nd floor, plot no 254, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
"SyanSoft Technologies","081308 74884","Tower B4, Spaze, Tower A, Spaze iTech Park, 507 & 508, Sohna - Gurgaon Rd, Sector 49, Gurugram, Haryana 122018"
"XB Software Development Company","088028 78718","Goma Plaza, E-512, Ramphal Chowk Rd, Block H, Sector 7 Dwarka, Palam, New Delhi, Delhi, 110077"
"Revinfotech Inc - Best Software & Web Development Company in Gurugram","093555 07599","Second floor, ILD Trade Center, above ILD Trade Center, D1 Block, Malibu Town, Sector 47, Gurugram, Haryana 122018"
"Junitix Softech","089418 04006","Old, Sub. Major Laxmi Chand Rd, Om Vihar, Sector 18, Gurugram, Haryana 122015"
"IStrat Software Pvt. Ltd.","0124 412 1000","90D,, Udyog Vihar Phase IV, Sector 18, Gurugram, Haryana 122015"
"Polaris Consulting & Services Limited","N/A","243, phase 1, FP infocity, Udyog Vihar, Gurugram, Haryana 122001"
"XeliumTech Solutions - Best Mobile App Development Company","088004 64848","Xeliumtech Solutions - Mobile App Development Company, 5, Tenon Ln, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122016"
"Convosight","N/A","328, First Floor, Udyog Vihar Phase 4 Rd, Phase III, Udyog Vihar, Sector 19, Gurugram, Haryana 122001"
"Akoode Technologies - An AI Powered Corporation","098993 00017","Tower B4, SPAZE ITECH PARK, UN 616, Badshahpur Sohna Rd Hwy, Sector 49, Gurugram, Haryana 122018"
"TECHPHOSIS PRIVATE LIMITED","N/A","Tower B, S-346, TechPhosis Private Limited , Ansal Palam Corporate Plaza, Gurugram, Haryana 122017"
"Digital Web Launcher Pvt. Ltd.","099907 44480","first floor, Ansal Corporate Plaza, B 235, Carterpuri Rd, near Domino's pizza, Block C 2, Palam Vihar, Gurugram, Haryana 122017"
"Ketpy (Software Company in Gurugram)","N/A","The Residency Tower-D, Ground Floor, Ketpy (Software Company in, Ardee City Gate Number 2 Rd, Sector 52, Gurugram, Haryana 122003"
"Webdecorum | Best Web Development Company in India","095991 10321","7th Floor, 108, Udyog Vihar Phase 1, Dundahera Village, Sector 20, Gurugram, Haryana 122016"
"Qandle","090158 65865","Ground Floor, PDS Towers, Plot no. 222, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016"
"Ananta Technology - IT Company","N/A","RZB-214, Old Mehrauli Rd, Palam Colony, Part - I, Raj Nagar, Delhi, 110077"
"Oodles Technologies Pvt Ltd - ERP/APP/Software Development Services","011 6610 7221","Unit no DG 18-009 , Tower B , Emaar Digital Greens, Sector 61, Gurugram, Haryana 122011"
"Capital Business Systems Pvt. Ltd.(Head Office)","0124 461 7700","288 A, Phase IV, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"Encode Studio","098113 11260","House No 65, 3rd Floor, Gali No. 5, Sector 12, Dharam Colony, Palam Vihar Extension, Gurugram, Haryana 122017"
"Quayo Technologies Private Limited","N/A","264, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016"
"Digital Fit India - Digital Marketing Company","N/A","2nd Floor, Plot No 379, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
"Truevisory","098180 63651","Office No - B, 65, Sector 12, Dharam Colony, Palam Vihar Extension, Gurugram, Haryana 122017"
"ChargeERP - Mandi Accounting Software","093113 41199","Express Highway, 90B, Delhi - Jaipur Expy, Nitin Vihar, Udyog Vihar, Sector 18, Gurugram, Haryana 122008"
"Kaise India","N/A","F3X6+XP7, near by Maruti Gate 1, Noble Enclave, Palam Vihar Extension, Gurugram, Haryana 122015"
"Delta IT Network","088261 96688","Old Judicial Complex, SCO - 38, 2nd Floor, Civil Line Rd, next to PNB, Civil Lines, Gurugram, Haryana 122001"
"DesignoFox","088023 73271","25, Swaroop Garden, Sector 105, Gurugram, Haryana 122001"
"City Innovates Pvt. Ltd.","078400 93766","Unit No. 58, Hartron Complex, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
"Techno Companion","085289 02205","250, opp. DLF Cyber City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
"Zetablend innovations pvt ltd","079036 77368","Plot no 46/2, Palam Vihar, Shankar Vihar, Gurugram, New Delhi, Haryana 122017"
"Srchout Software Mobile Application Development Company","080052 82881","MM Tower, Plot No. 8 & 9, Phase IV, Udyog Vihar, Sector 18, Gurugram, Shahpur, Haryana 122002"
"Srchout Software Mobile Application Development Company","080052 82881","MM Tower, Plot No. 8 & 9, Phase IV, Udyog Vihar, Sector 18, Gurugram, Shahpur, Haryana 122002"
"ExpNovateur","093101 85793","Palam Vyapar Kendra, Palam Vihar Rd, Pocket E, Sector 2, Palam Vihar, Gurugram, Haryana 122017"
"Technocube","099588 52734","336 Udyog Vihar, Phase IV, Gurugram, Haryana 122001"
"AVVN technologies","N/A","B-19, II Floor, Palam Vyapar Kendra, Pocket E, Sector 2, Palam Vihar, Gurugram, Haryana 122017"
"iEnigma Technologies","N/A","C-37 A, Street Number 9, Sadh Nagar, Palam, New Delhi, Delhi, 110045"
"GSV SYSTEMS PVT LTD","070654 78478","90B, Delhi - Jaipur Expy, Udyog Vihar, Sector 18, Gurugram, Sarhol, Haryana 122015"
"k1/90","N/A","k1/90, Block G, New Palam Vihar Phase 1, Sector 110, Gurugram, Haryana 122017"
"Zippee","N/A","345, Udyog Vihar II Rd, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016"
"ABHIRAJ EXCELLENCE SOLUTION","085956 31704","SHOP NO 15, DD COMPLEX, BAJGHERA CHOWK, Pocket C, Palam Vihar, Gurugram, Haryana 122017"
"Cargo Flash Infotech Pvt Ltd, 142","0124 712 5036","Udyog Vihar Phase 4 Rd, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122008"
"Softude Infotech | Software Development Company","093038 00613","107, First Floor, Suncity Trade Tower, Old Delhi Rd, Sector 21, Gurugram, Haryana 122001"
"AT Tech Global","092668 12465","IIIrd Floor, Block B, Ansal Corporate Plaza, T-444, Carterpuri Rd, Block C 2, Palam Vihar, Gurugram, Haryana 122017"
"NAINA DIGITAL SOLUTION HUB PRIVATE LIMITED","098108 72954","3rd Floor, 38, ITM Enclave, Gurugram, Haryana 122050"
"NAINA DIGITAL SOLUTION HUB PRIVATE LIMITED","098108 72954","3rd Floor, 38, ITM Enclave, Gurugram, Haryana 122050"
"FOTOTYPE INFOTECH","098181 26310","Palam Vyapar Kendra, S-199, Palam Vihar Rd, Pocket E, Sector 2, Palam Vihar, Gurugram, Haryana 122017"
"Credihealth Pvt. Ltd","080109 94994","463, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"Technology Learning","099580 31956","Flat No- 102 , Plot No- A43 , A- Block , Phase-3 Saikunj, in front of Sai Temple, New Palam Vihar, Landmark, Gurugram, Haryana 122017"
"Technology Learning","099580 31956","Flat No- 102 , Plot No- A43 , A- Block , Phase-3 Saikunj, in front of Sai Temple, New Palam Vihar, Landmark, Gurugram, Haryana 122017"
