"company_name","phone_number","location"
"V3M Technologies Pvt. Ltd. | Best Website, Software & Mobile App Development, Digital Marketing Company in Gurugram","083739 18351","First Floor, Tower A, Ansal Corporate Plaza, 231 & 232, opposite OM Sweets, Block C 2, Palam Vihar, Gurugram, Haryana 122017"
"Amdocs Development Center India LLP, Gurgaon, Haryana","N/A","Tower C, Building No. 3, Unitech Infospace, Old Delhi Gurugram Rd, Dundahera Village, Sector 21, Gurugram, Haryana 122016"
"Wipro Limited","0124 308 4000","480-481, 480, Phase III, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"Knocial India Limited","093541 20847","60B, Udyog Vihar, Sector 22, Gurugram, Haryana 122015"
"Star EDI Solutions Pvt Ltd","099582 16216","C2-1044A, 2nd Floor, Palam Vihar, Gurugram, Haryana 122017"
"RAJMITH - Android & IOS Mobile App Development Company in Gurgaon, India","099905 09911","B-19 2nd Floor, Palam Vyapar Kendra, Palam Vihar Rd, Pocket E, Sector 2, Palam Vihar, Gurugram, Haryana 122017"
"Techninza","081789 24823","3rd Floor, KNS Rana Tower, A, Block A, New Palam Vihar Phase 1, Sector 110, Gurugram, Haryana 122017"
"Wakencode Technologies Private Limited","085270 84792","wework, 393, Udyog Vihar Phase 3 Rd, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016"
"Rapidsoft Technologies","074289 13744","Plot No, 872, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
"Sia infotech solutions pvt ltd","N/A","2, Palam Vihar Extension, Gurugram, Haryana 122015"
"Iram Global IT Solution Pvt. Ltd. Gurgaon","094618 61000","Iram Global IT Solution Pvt. Ltd, E15, New Palam Vihar, Block F, New Palam Vihar Phase 1, Sector 110, Gurugram, Haryana 122017"
"Epic Corporations Pvt. Ltd.","078271 35297","BLOCK- A, Ansal Corporate Plaza, TF- 427, Block C 2, Palam Vihar, Gurugram, Haryana 122017"
"StartxLabs Technologies","098187 88321","Plot No 264, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016"
"Binary Semantics Limited","089291 56505","PLot no, 38, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015"
"Honeysha Technologies, Software Company in Gurgaon, Digital Marketing Agency in Gurgaon","076920 79000","Cyber City, U-79/18, Rd Number 79, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002"
"Panchisoft","098107 35390","H-166, Street Number 2, I Block, H- Block, Dharam Colony, Palam Vihar Extension, Gurugram, Haryana 122017"
"OrderEye","094514 44541","H-78, Palam Vihar Extension, Gurugram, Haryana 122002"
"Creation Softech Technologies","087504 04343","Plot No 455, First Floor, E-block, LANE No.- 8, New Palam Vihar , Phase-2, Sector 112, Gurugram, Haryana 122017"
"Lepton Software","0124 472 5500","570, Rao Gajraj Singh Marg, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016"
