"company_name","phone_number","location"
"Revinfotech Inc - Best Software & Web Development Company in Gurugram","093555 07599","Second floor, ILD Trade Center, above ILD Trade Center, D1 Block, Malibu Town, Sector 47, Gurugram, Haryana 122018"
"Swaran Soft","092203 13650","32B- 33A, Ground Floor, Tower - B1, SPAZE ITECH PARK, Badshahpur Sohna Rd Hwy, Sector 49, Gurugram, Haryana 122018"
"Revinfotech Inc - Enterprise Software And Web Development Company","093555 07599","2nd Floor, BATRA HOUSE, RANBAXY CORPORATE HEADQUARTERS, Plot No - 52, Sector 32, Gurugram, Haryana 122001"
"Daffodil Software","0124 681 7000","9th Floor, Tower B1, World Tech Park, DLF, NH8, Sector 30, Gurugram, Haryana 122001"
"New Technology Research Software Services (India) Pvt. Ltd.","0124 438 2428","Welldone Tech Park, 1008a, 10th Floor, Sector 49 Sohna Road, Gurgaon, Gurugram, Haryana 122082"
"Wroffy Technologies Pvt Ltd","0124 434 9014","304, Vipul Business Park, Badshahpur Sohna Rd Hwy, opp. Raheja Mall, Central Park II, Sector 48, Gurugram, Haryana 122018"
"Evolphin Software","0124 420 8793","Unit No. 1005, 10th Floor, BPTP, Park Centra, Block A, Sector 30, Gurugram, Haryana 122001"
"Scoreme Solutions Pvt Ltd.","N/A","8th floor, Tower D, Pioneer Urban Square, The Close South, Sector 62, Gurugram, Haryana 122001"
"YASH Technologies PVT LTD","0124 454 7100","5th Floor, Well done Tech Park, Sohna - Gurgaon Rd, Sector 48, Gurugram, Haryana 122018"
"Webority Technologies","095990 06518","629 - 634, Sixth Floor, Vipul Trade Centre, Sohna - Gurgaon Rd, Sector 48, Gurugram, Haryana 122018"
"Insoftsys | Software Development Company in Gurgaon","098110 04471","M-45, First Floor, Mehrauli-Gurgaon Rd, Block M, Old DLF Colony, Sector 14, Gurugram, Haryana 122007"
"Innovate Labs Private Limited","0124 447 7386","Suncity Success Tower, 428-429, Sector 65, Gurugram, Haryana 122018"
"Yugasa Software Labs","088005 22257","9th Floor, Tower-B, UNITECH CYBER PARK, Yugasa Software Labs, Sector 39, Gurugram, Haryana 122001"
"Believ-In Technologies | Website Design & Development Services in Gurgaon","099589 92236","ILD Tower 2nd floor, Unit 235-245, Gurugram, Haryana 122018"
"Vatsin Technology Solutions Pvt. Ltd - Microsoft Solutions Partner","1800 123 0559","Unit 551-551B, 5th Floor, Tower-B2, SPAZE ITECH PARK, Badshahpur Sohna Rd Hwy, Sector 49, Gurugram, Haryana 122018"
"Adapt Software India Pvt Ltd","093110 68698","Plot No 544 E, Pace City II, Sector 37, Gurugram, Haryana 122001"
"Q3 Technologies - Software Development Company","0124 665 6000","JMD Megapolis,, Sohna Road, Sector 48, Gurugram, Haryana 122018"
"PinnacleWorks Infotech (P) Ltd","086456 62666","Tower B1, Spaze iTech Park, 34-A, 34-B, 34-C, Sector 49, Gurugram, Haryana 122018"
"KareXpert Technologies Pvt. Ltd. - Hospital Management Software | Hospital Billing Software","090691 13330","8th Floor, Arcadia, 809, Badshahpur Sohna Rd Hwy, Block A, South City II, Sector 49, Gurugram, Fatehpur, Haryana 122018"
"RevInfotech - Best Blockchain Development Company","093555 07599","1105, Welldone Tech Park, Badshahpur Sohna Rd Hwy, Sector 48, Gurugram, Haryana 122002"
"Genx Info Technologies Pvt. Ltd.","0124 265 6000","411, 4th Floor, Bestech Cyber Park, Narsinghpur, NH-8, Gurugram, Haryana 122004"
"Onestop - Best ERP Software Company","078279 97050","C-20, 1st Floor, South City I, Gurugram, Haryana 122003"
"ZWING - Cloud POS for Retail","N/A","9th floor, TOWER-C, Unitech Business Zone, The Close South, Sector 50, Gurugram, Haryana 122018"
"ZWING - Cloud POS for Retail","N/A","9th floor, TOWER-C, Unitech Business Zone, The Close South, Sector 50, Gurugram, Haryana 122018"
"Enuke Software","099584 90489","Building 339, Pavillion, 2, Mehrauli Rd, near Mango Blossom Hotel, Anamika Enclave, Sector 14, Gurugram, Haryana 122007"
"Enpass Technologies Private Limited","0124 422 1337","805, Tower A, Spaze iTech Park, Sohna - Gurgaon Rd, Block S, Sector 49, Gurugram, Haryana 122018"
"Marg Software Gurugram","086859 79475","Prem Nagar, Sector 11, Gurugram, Haryana 122001"
"Honeysha Technologies, Software Company in Gurgaon, Digital Marketing Agency in Gurgaon","076920 79000","Cyber City, U-79/18, Rd Number 79, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002"
"Software Experts India - #1 Software Development Company in India","098217 46537","3rd Floor, Tower B4, SPAZE ITECH PARK, 321-A, Badshahpur Sohna Rd Hwy, Sector 49, Gurugram, Haryana 122018"
"Unthinkable","0124 681 7000","9th Floor, Tower B-1, World Tech Park NH8, DLF, NH-8, Silokhera, SEZ, Sector 30, Gurugram, Haryana 122001"
"Unthinkable","0124 681 7000","9th Floor, Tower B-1, World Tech Park NH8, DLF, NH-8, Silokhera, SEZ, Sector 30, Gurugram, Haryana 122001"
"GANIT SOFTECH PVT. LTD.","092052 49558","181/3, The Pavilion Building 6th floor, Mehrauli-Gurgaon Rd, Anamika Enclave, Sector 14, Gurugram, Haryana 122007"
"Advantal Technologies Ltd","099260 54677","Unit No. 527 and 528, 5th Floor, Vipul Trade center, Badshahpur Sohna Rd Hwy, Sector 48, Gurugram, Haryana 122018"
"Mobibiz - #1 Top Choice Mobile App Development Company in Gurgaon","098217 44185","321, 3rd Floor Tower B4 Spaze iTechPark Sohna Road, Sector 49, Gurugram, Haryana 122018"
"Corewave- CRM, ERP, Mobile app, Software Development Company Gurgaon, Digital Marketing, SEO Company in Gurgaon","098106 76072","Tower B1, Sector 30 DLF, Silokhera, SEZ, Gurugram, Haryana 122001"
"Aequor Information Technologies Pvt. Ltd.","0124 426 6483","Plot No 58, EHTP, National Highway 8, Block B, Sector 34, Gurugram, Haryana 122004"
"TECHBRAWN","0124 400 5251","Unitech Business Zone, B 504, Nirvana Country Rd, South City II, Sector 50, Gurugram, Haryana 122018"
"Pocket HRMS - Payroll Software Provider in Gurugram","098927 63507","Tower-A, IRIS Tech Park, 306 C, Badshahpur Sohna Rd Hwy, Sector 48, Gurugram, Haryana 122018"
"Vinove Software and Services","070420 20782","10th floor, Tower-B, UNITECH CYBER PARK, Durga Colony, Sector 39, Gurugram, Haryana 122003"
"ISMEDU Software Solutions Pvt. Ltd.","092054 44090","204, 2nd Floor, TOWER-B, GLOBAL BUSINESS PARK, Mehrauli-Gurgaon Rd, near Guru Dronacharya Metro Station, Sikanderpur, Sector 26, Gurugram, Haryana 122002"
"Cognizant","0124 441 3510","Ground Building No. 3, IT & ITES, village, Central Park II, Sector 48, Gurugram, Haryana 122018"
"Ketpy (Software Company in Gurugram)","N/A","The Residency Tower-D, Ground Floor, Ketpy (Software Company in, Ardee City Gate Number 2 Rd, Sector 52, Gurugram, Haryana 122003"
"WiJungle","091191 19190","3rd Floor, 90, Sector 44, Gurugram, Haryana 122003"
"Engenia Technologies Private Limited","098118 54684","Creators Gurukul, Main Road, DLF Phase 2, Sector 25, Gurugram, Haryana 122002"
"nirwana","075308 89602","296, Nirvana Central Rd, Nirvana Country, Sector 50, Gurugram, Haryana 122018"
"C1 India Private Limited","0124 430 2000","3rd Floor, Plot No. 68, Sector 44, Gurugram, Haryana 122003"
"JSM Technologies P Ltd Gurugram","N/A","Nirvana Country, Sector 50, Gurugram, Haryana 122018"
"Decipher Zone - Software Development Company","0124 483 0692","Spaze, Tower A, Spaze iTech Park, Unit number 248 - 249, Tower-B2, Sohna - Gurgaon Rd, Gurugram, Haryana 122002"
"BigStep Technologies","N/A","JMD MEGAPOLIS, 754, Sector 48, Gurugram, Haryana 122018"
"Quantum4U Lab Pvt. Ltd.","N/A","423, Tower-B4, Spaze I Tech Park, Sector 49, Gurugram, Haryana 122018"
"Decimal Technologies Pvt. Ltd.","082878 70870","12th Floor, B-Tower, M3M Urbana Business Park, Golf Course Ext Rd, Sector 67, Gurugram, Haryana 122001"
"VDOIT - AI/ML, WEB3.0, Tableau, Blockchain, AWS, Azure","088001 09830","Unit 912, Emaar Mgf The Palm Drive Emaar Palm Square, Golf Course Ext Rd, Badshahpur, Sector 66, Gurugram, Haryana 122011"
"MLM Software Developer | Sunny citrix","079060 59336","office no 427C, 4th floor, vashisht complex, Sikanderpur, Gurugram, Haryana 122004"
"Code Bro - Software Development Company in Gurugram","N/A","Tower A, Spaze iTech Park, Sohna - Gurgaon Rd, near Shoppers Stop, Block S, Sector 49, Gurugram, Haryana 122018"
"BCS Technology","5010620","11th Floor, Tower B3, Spaze i-Tech Park, Unit No. 1130, 1131, Sector 49, Gurugram, Haryana 122002"
"ACT COMPUTERS - Tally Partner Gurgaon Since 2005","098112 83243","Shop No. 302, Aap Ka Bazar, Gurudwara Rd, Gurugram, Haryana 122001"
"Techvins - #1 Top Choice Mobile App Development Company in Gurgaon","093118 86599","Quest coworks, Ocus Quantum, Sector 51, Gurugram, Samaspur, Haryana 122018"
"LogixGRID Technologies Pvt Ltd","N/A","7th Floor, Welldone tech park, Badshahpur Sohna Rd Hwy, Sector 48, Gurugram, Haryana 122018"
"Legistify","072900 84470","Second Floor, Minarch Tower, Plot No- 4, Sector 44, Gurugram, Haryana 122003"
"Oodles Technologies Pvt Ltd","N/A","58, Badshahpur Sohna Rd Hwy, Block W, Sector 49, Gurugram, Haryana 122018"
"Heltar","080057 56750","1st floor, Cedar Crest, 153, Nirvana Country, Gurugram, Haryana 122018"
"Trace Software Pvt. Ltd.","0124 257 8797","Gallaria Towers, 1116 , 11th, DLF Phase IV, Gurugram, Haryana 122009"
"PCI - Dream Connect Digitize","080905 00905","Unit No. 804, TOWER-B, Unitech Business Zone, Golf Course Ext Rd, The Close South, Sector 50, Gurugram, Haryana 122002"
"DianApps- Top Mobile App Development Company in Gurgaon, India","093515 84693","2nd Floor, Plot No. 8&9, MM Tower, Phase IV, Sector 18, Gurugram, Shahpur, Haryana 122015"
"InfoAce Technologies","0124 400 3990","Unit 844, Tower B2, SPAZE ITECH PARK, Badshahpur Sohna Rd Hwy, Sector 49, Gurugram, Haryana 122001"
"Codevio Digital – IT & Software Company in Gurgaon","074280 36870","UNITECH CYBER PARK, Durga Colony, Sector 39, Gurugram, Haryana 122003"
"Codevio Digital – IT & Software Company in Gurgaon","074280 36870","UNITECH CYBER PARK, Durga Colony, Sector 39, Gurugram, Haryana 122003"
"Blackrose Technologies","098101 71088","6th Floor, TOWER-C, Unitech Business Zone, C-605, The Close South, Sector 50, Gurugram, Haryana 122018"
"Pasenture Technologies Pvt. Ltd. – Best Web, App, & Software Development Company in Gurgaon, India","097171 97498","2nd Floor, 90, IDC, Mehrauli-Gurgaon Rd, Industrial Development Area, Sector 16, Gurugram, Haryana 122007"
"RealtyDigi | Real Estate Logo Design, Website & Software Development","N/A","Unit No. 804, TOWER-B, Unitech Business Zone, Golf Course Ext Rd, The Close South, Sector 50, Gurugram, Haryana 122002"
"Phoenix Tech Consulting Pvt. Ltd.","088266 75816","147 Vipul Trade Center, Sohna - Gurgaon Rd, Sector 48, Gurugram, Haryana 122018"
"Techgrowbit Solutions - Software Development || IT Recruitment Company","088602 72272","Vipul Business Park, Office No. 199, 1st floor, Central Park II Rd, Sector 48, Gurugram, Haryana 122004"
"ValueCoders Services","088821 08080","10th floor, Tower-B, UNITECH CYBER PARK, Durga Colony, Sector 39, Gurugram, Haryana 122003"
"Ezulix Software - Gurugram, Delhi NCR","072300 01613","Magnum Global Park, 1701A, Sector 58, Gurugram, Haryana 122011"
"CRM Tech India - Best CRM Software Development Company in Gurugram","096677 42876","Tower-B4, SPAZE ITECH PARK, 317-A, Badshahpur Sohna Rd Hwy, Sector 49, Gurugram, Haryana 122018"
"Innospark - Android & IOS Mobile App Development Company in Gurgaon, India","084481 20072","2nd Floor, JMD MEGAPOLIS, SF-221, Sector 49, Gurugram, Haryana 122018"
"Software Applications Development Company - BeamStacks","N/A","1104, 11th Floor, Tower B, Millenium Dr, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002"
"GreyNext Software Consultancy, Gurugram","N/A","Madanpuri Rd, Madanpuri, Sector 8, Gurugram, Haryana 122006"
"QicApp - Mobile App Development Company in Gurgaon","097178 35305","14th Floor, SVH 83, 1422, Metro Street, Sector 84, Gurugram, Haryana 122004"
"Squareboat - Software Development | IT Staff Augmentation Company","011 4116 8383","Plot No, 115, Sector 44, Gurugram, Haryana 122002"
"VVDN Technologies Pvt. Ltd","0124 428 4250","D, Infocity II, 22, Phase 2, Info Technology Park, Sector 33, Gurugram, Haryana 122004"
"Akrolix Innovations","N/A","SCO32, 2nd Floor Vypar Sadan, behind country inn hotel, Sector 12, Gurugram, Haryana 122007"
"Oodles ERP Solutions | ERP integration and Custom software development services","N/A","Unit No. 110, IRIS Tech Park, Sohna - Gurgaon Rd, Sector 48, Gurugram, Haryana 122018"
"Supplymint","070421 05181","Tower B 703, Unitech Business Zone, The Close South, Sector 50, Gurugram, Haryana 122018"
"Grihseva software development and solutions company","087096 26297","3rd Floor, Apna Bazar, 311B, Gurudwara Rd, Sadar Bazar, Roshan Pura, Gurugram, Haryana 122001"
"MedinyX Software Solutions Pvt. Ltd.","N/A","2nd Floor, PRIVAT Medicity, Tower E, L-22, DLF Phase 2, Sector 25, Gurugram, Sarhol, Haryana 122002"
"Mobibiz - #1 Top Choice Mobile App Development Company in Gurgaon","098217 44185","321, 3rd Floor Tower B4 Spaze iTechPark Sohna Road, Sector 49, Gurugram, Haryana 122018"
"Solis Technology","085230 06900","Ground Floor, Plot No 127, Sector 44, Gurugram, Haryana 122003"
"Dew Solutions Private Limited","0124 421 2275","JMD Megapolis P301, 3rd Floor, Sector 48, Gurugram, Haryana 122018"
"Codetrex","098717 83739","2F, Plot No, 634, Islampur Colony, Sector 38, Gurugram, Haryana 122001"
"Skolaro - Technifying Education","095603 59200","7th Floor, Palm Court, Industrial Development Area, Sector 16, Gurugram, Haryana 122001"
"Nanotech Soft-App IT Solution","070428 44134","Unitech Cyber Park, Tower B, 9th, Sector 39, Gurugram, Haryana 122003"
"Zeabros India - Software Development, Mobile App Development & Digital Marketing","096507 02656","U 79, Basement, 17, DLF Phase 3, Sector 24, Gurugram, Haryana 122002"
"EaseMyGST, a Ginesys One Product","096500 62240","9th floor, TOWER-C, Unitech Business Zone, Nirvana Country, Sector 50, Gurugram, Haryana 122018"
"AHOM Technologies Private Limited - Digital Transformation Company, Gurgaon, India","0124 429 4496","JMD MEGAPOLIS, 1002, Badshahpur Sohna Rd Hwy, Sector 48, Gurugram, Haryana 122018"
"SoftwareONE India Pvt. Ltd.","0124 502 4999","7th Floor, International Tech Park, Village, Dayma Road, near Sector-59, Block-I, Phase I, Balola, Gurugram, Haryana 122101"
"Sparsa Digital Pvt. Ltd.","093115 89890","119 A, DLF Star Tower, Sector 30, Gurugram, Haryana 122001"
"SalaryBox","072900 98241","10th Floor, Tower C, UNITECH CYBER PARK, Unit No, 1002 & 1003, Sector 39, Gurugram, Haryana 122003"
"Neetable","080505 17766","Tower-B, UNITECH CYBER PARK, 3rd Floor, Durga Colony, Sector 39, Gurugram, Haryana 122002"
"Suvrin Technologies|Website Development | eCommerce & Mobile App Development company","098110 21616","P1/55, Mushedpur, DLF Phase 2, Sector 25, Gurugram, Shahpur, Haryana 122002"
"Workstatus","095829 57066","10th floor, Tower-B, UNITECH CYBER PARK, Durga Colony, Sector 39, Gurugram, Haryana 122018"
"CoElevate @ Nirvana | Unitech Business Zone | Golf Course Extension","098995 02209","First Floor, 111, TOWER-B, Unitech Business Zone, near The Close Avenue, Nirvana Country, Sector 50, Gurugram, Haryana 122018"
"Samast Technologies Private Limited","N/A","380, Gurugram Rd, Vikas Nagar, Sector 10, Gurugram, Haryana 122001"
"Skilrock Technologies","0124 423 1900","5th Floor, Tower C, UNITECH CYBER PARK, The Office Pass, Sector 39, Gurugram, Haryana 122003"
"Delta Software Pvt. Ltd.","N/A","3rd Floor, C-031D, Supermart-1, DLF Phase IV, Gurugram, Haryana 122009"
"Metaverse Experts India- Top Metaverse Development Company in Gurgaon","073038 43190","Tower A, Spaze iTech Park, 609 A, Sohna - Gurgaon Rd, Block S, Sector 49, Gurugram, Haryana 122018"
"TechBridge Consultancy Services LLP ( plot no 94 )","092894 40084","2nd floor, 94, Sector 44 Rd, Sector 44, Gurugram, Haryana 122003"
