"company_name","phone_number","location"
"Scoreme Solutions Pvt Ltd.","078400 07667","06th Floor, TOWER-B, Unitech Business Zone, 607-611, The Close South, Sector 50, Gurugram, Haryana 122018"
"SyanSoft Technologies","081308 74884","Tower B4, Spaze, Tower A, Spaze iTech Park, 507 & 508, Sohna - Gurgaon Rd, Sector 49, Gurugram, Haryana 122018"
"Ginni Systems Limited Corporate Office :Ginesys","N/A","Unit No 901 & 902, Tower C, 9th Floor, Business Zone, Nirvana Country, Sector 50, Gurugram, Haryana 122018"
"TurningCloud Solutions Private Limited","N/A","Tower B-703, Unitech Business Zone Nirvana Country South City II, Sector 50, Gurugram, Haryana 122018"
"Sage Software Solutions Pvt Ltd | ERP & CRM Provider in Gurugram","086553 06473","Tower-A, IRIS Tech Park, 306 C, Badshahpur Sohna Rd Hwy, Sector 48, Gurugram, Haryana 122018"
"Future Tech Design","073470 99901","6th Floor, Business Zone, Office No.601, Block-B, Sector 50, Gurugram, Haryana 122018"
"Nirvana Solutions India Pvt. Ltd.","0212 768 3410","Unit No 951-955, TOWER-B, SPAZE ITECH PARK, Sector 49, Gurugram, Haryana 122018"
"Trion Technologies","0124 403 8435","Tower A, Spaze iTech Park, 7C B4, Ground Floor, Sohna - Gurgaon Rd, Sector 49, Gurugram, Haryana 122018"
"ROSTAN Technologies Pvt. Ltd.","0124 427 4446","Unit No. # 09, 2nd Floor, Emaar MGF - The Palm Square, Golf Course Ext Rd, Sector 66, Gurugram, Haryana 122002"
"Websbaba Technologies Pvt.Ltd.","0124 406 6733","828 B3, Ground Floor, Tower A, Spaze iTech Park, Sohna - Gurgaon Rd, Block S, Sector 49, Gurugram, Haryana 122018"
"Akoode Technologies - An AI Powered Corporation","098993 00017","Tower B4, SPAZE ITECH PARK, UN 616, Badshahpur Sohna Rd Hwy, Sector 49, Gurugram, Haryana 122018"
"Essence Software Solutions Pvt. Ltd.","096547 32469","Unit Nb 845, 8th floor, SPAZE ITECH PARK, Sohna - Gurgaon Rd, Block S, Sector 49, TowerB2, Gurugram, Haryana 122018"
"OrangeMantra - Digital Transformation Services | Staff Augmentation | Mobile App Development | Ecommerce | IOT | AI | ML","098702 89050","Unit No. 650, 6th Floor, Tower A, Spaze iTech Park, Sohna - Gurgaon Rd, Block S, Sector 49, Gurugram, Haryana 122018"
"Imenso Software","091117 55523","04A-04B, Ground Floor, Tower B4 Spaze i-Tech Park, Sohna Road, Gurugram, Haryana 122002"
