"company_name","phone_number","location"
"T.I.M.E. Coaching – Vaishali Nagar Jaipur ( BBA, CAT, CLAT, NMAT, CUET )","0141 403 2954","9B, RSEB Officers Colony, Opp. Inox Cinema, Gautam Marg, D - Block, Vaishali Nagar, Jaipur, Rajasthan 302021"
"KMINDZ EDUCATION JAIPUR","099288 91913","13, Gautam Marg, Nemi Nagar, Vaishali Nagar, Jaipur, Rajasthan 302021"
"DeePra Coaching Classes","088239 22203","65, Gandhi Path, near ICICI BANK, Aditya Vihar, Scheme Number 8, Girnar Colony South, Vaishali Nagar, Jaipur, Rajasthan 302021"
"BRDS Vaishali Nagar, Jaipur - NID NIFT UCEED & NATA Coaching in Jaipur","097278 57598","Plot no. B-1/564-A Chitrakoot scheme, Sector-1, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Teamwork Classes","098296 39969","D 9/91, in front of Akshardham Mandir Road, Akruti Apartments, Chitrakoot, Jaipur, Rajasthan 302021"
"IMS Jaipur Vaishali Nagar","097697 00038","Near, 2nd Floor, S-10, J.D.A. Central Market, opposite Amar Jain Hospital, Amrapali Circle, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Inspiring Lives Learning","082097 98443","10/6 Basement, Stadium, near HDFC Bank, Chitrakoot, Jaipur, Rajasthan 302021"
"Vidya Sagar Career Institute Ltd. - VSI Jaipur Vaishali Nagar","078218 21250","B-138, Nemi Nagar, opp. D.A.V.School, near Amarpali Circle, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Amit Vijay Classes - SSC CGL Coaching in Jaipur, Bank Po Coaching, Competition Maths Coaching, Banking Coaching Jaipur","093520 68139","C-155, Near Global Heart Hospital, Lane, in front of Patanjali Mega Store, Vaishali Nagar, Jaipur, Rajasthan 302021"
"SHARMA JUNIOR CLASSES ( For IX-X )","096801 74444","175, Sarthi Marg, Doctors Colony, opp midas residence DCM, Vidhyut Nagar, Jaipur, Rajasthan 302021"
"Unacademy Centre - Vaishali Nagar, Jaipur","063665 27128","Plot 79, 81 3rd & 4th Floor, Harshit Mansion, Shivraj Niketan Colony, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Axiom Defence Academy NDA /CDS /SSB classes at vaishali nagar Jaipur, Rajasthan","070231 33083","plot no. 24-A, Queens Rd, Veer Vihar, Vaishali Nagar, Jaipur, Rajasthan 302021"
"ACCOUNTS BY CA CMA SWATI MAHESHWARI","083878 16345","A 281, behind narang hospital, Girnar Colony, Nityanand Nagar, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Sharma Commerce Classes","098293 61842","175, Doctors Colony Rd, Heera Nagar Extension, NEAR SHANI MANDIR, Doctors Colony, Jaipur, Rajasthan 302021"
"JAIPUR EDUCATION PLUS//EduExperts","099295 44574","9/216, Chitrakoot Marg, Akruti Apartments, Chitrakoot, Jaipur, Rajasthan 302021"
"Aakash Institute, Vaishali Nagar","088000 13085","1st & 2nd Flr, The Solitaire, C/212/213, Gautam Marg, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Vivekanand coaching classes jaipur","082097 46456","first floor, 62, Gandhi Path, near nymph academy, Lalarpura, Jaipur, Rajasthan 302034"
"Tara Ma'am Classes/Tuition in Vaishali Nagar, Class- 9th and 10th","098290 99559","First Floor, F-169, near Tata Capital Office, Vaishali Nagar, Jaipur, Rajasthan 302021"
"SuperGrads Coaching Center [IPMAT,CAT & CUET]","091091 08430","1st Floor, Vaibhav Complex, E, E - Block, Block C, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Focus Classes of Science (X, XII BOARD COACHING CLASSES)","077259 94948","57A DurgaMarg, West, Akshardham Mandir Rd, Moti Nagar, Shiv Colony, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Career Competence","098294 47453","B1/549,Flat no.001,Muskaan Residency,Opposite HDFC Bank, Chitrakoot, Vaishali Nagar, Jaipur, Rajasthan 302021"
"S2S Defence Academy - Best Military School, Sainik School and RIMC Coaching in Jaipur","096028 99997","A-39 Bali Marg, Hanuman Nagar, Khatipura Mod, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Kargil Defence Academy","097855 05270","Ganesham Tower, 204-205, Amrapali Marg, opp. BSNL Tower, Block E, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Goel classes","098750 44454","A-43, Amrapali Marg, behind Laxmi Narayan Mandir, Acharya Vinoba Bhave Nagar, B Block, Vaishali Nagar, Jaipur, Rajasthan 302021"
