"company_name","phone_number","location"
"Law Prep Tutorial (CLAT Coaching), Vaishali Nagar Jaipur","075972 50101","Flat No 10, 1st floor, Gautam Marg, Shivraj Niketan Colony, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Akhil academy - Jaipur's Best Coaching","087643 80578","Plot no. 72, Maa Hinglaj Nagar, Lalarpura, Gandhi Path, Vaishali Nagar, Jaipur, Rajasthan 302021"
"AVC","093520 68139","C-155, Vaishali Marg, Block C, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Nemani Commerce Classes - Best Accounts and CMA Coaching Center in Jaipur","094149 90222","Nemi Nagar, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Samyak Computer Classes, Vaishali Nagar Jaipur","097722 71081","2nd Floor, 5A-5B, Gautam Marg, RSEB Colony, D - Block, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Physics Wallah Tuition Center Jaipur Vaishali Nagar | Class 8th - 10th Board Preparation","095133 69664","Main Vaishali Circle, Plot No. 73, Gautam Marg, above Bata Showroom, Shivraj Niketan Colony, Vaishali Nagar, Jaipur, Rajasthan 302021"
"CAREER WAY HOME TUTIONS AND COACHING CLASSES jaipur","092510 12221","A 93 BA, Gandhi Path, near NYMPH ACADEMY SCHOOL KIRAN MARRIAGE GARDEN, Anupam Vihar Colony, Vaishali Nagar, Jaipur, Rajasthan 302034"
"Pahal Design","097721 99911","B1/549, opposite HDFC Bank, Chitrakoot, Jaipur, Rajasthan 302021"
"Archita's academy","N/A","128, near, Mahant Swami Marg, Govind Nagar, Chitrakoot, Jaipur, Rajasthan 302021"
"SRI CHAITANYA ACADEMY, VAISHALI NAGAR JAIPUR 4","N/A","301-302, C Block, Gom Defence Colony, Hanuman Nagar, Jaipur, Rajasthan 302012"
"Mittal Commerce Classes","099293 25519","A-491, near Nursery Circle, Nemi Nagar Extension, Block A, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Physics Classes by Er. Rohit Jain (for JEE/NEET/BITSAT/CBSE/IB/IGCSE) -Physics Coaching Institute in Vaishali Nagar, Jaipur","094149 32527","4/219 chitrakoot, 4/219, Chitrakoot Marg, near chitrakoot stadium, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Ambition Coaching Classes","096940 09693","6, Ganga Sagar-B, B Block, Vaishali Nagar, Jaipur, Rajasthan 302021"
"FIITJEE Vaishali Nagar, Jaipur","N/A","Vaibhav Multiplex, 1st Floor, C-1, Amrapali Marg, Block C, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Jyoti Judiciary Coaching - Rjs Coaching in jaipur","099290 96546","95, park view apartment, Nursery Cir, Vaishali Nagar, Jaipur, Rajasthan 302021"
"INVICTA DEFENCE ACADEMY|SSB interview|NDA|CDS|AFCAT","093518 87081","10, Karni Vivek Vihar, Gandhi Path, opp. Mahakaal Temple, Maa Hingloj Nagar, Gulab Vihar B, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Tvesha's Coaching Classes","N/A","S-20, JDA Central Market, Amrapali Marg, near Burger King, Vaishali Nagar, Jaipur, Rajasthan 302021"
"GOYAL TUITION CLASSES","098298 85555","D 32, D - Block, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Narayana Coaching Center, Hanuman Nagar - Campus 4","0141 484 8000","Plot A 14 & 36, Tiraha, near Khatipura, Hanuman Nagar, Jaipur, Rajasthan 302021"
"Thirdeye Computer Classes Vaishali Nagar","080580 61222","Shop no. S1, 2nd Floor, Royal Plaza, opposite Gupta Stores, near Amrapali Circle, Sector 6, Vaishali Nagar, Jaipur, Rajasthan 302021"
"NCI classes","086199 41594","gali no 4 aksherdham, 132, Mandir Marg, Govind Nagar, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Dream Path Academy","082094 98103","Basement, Roshan Niwas, Gangaram Yadav ki Dhani, Chitrakoot, Sector-5, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Ekagra Classes Panchyawala (Vaishali Nagar)","093588 01235","Kharbas Complex, Sirsi Rd, near Vaishali Nagar, Raghunath Vihar, Panchyawala, Jaipur, Rajasthan 302034"
"Tapasya Classes","094142 28256","3-4,LN NAGAR, LALARPURA ROAD, Gandhi Path, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Brahmos Lakshya Academy","N/A","Amrapali Marg, Acharya Vinoba Bhave Nagar, B Block, Vaishali Nagar, Jaipur, Rajasthan 302021"
"VTeach Tuition Centre","N/A","A-87, Nemi Nagar Extension, Block A, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Clat Prep Education","099502 66622","RSEB officers colony, 9B, Gautam Marg, opposite INOX Cinema, RSEB Colony, D - Block, Vaishali Nagar, Jaipur, Rajasthan 302021"
"LegalEdge by Toprankers","091091 08430","C, Vaibhav Multiplex, 1, Amrapali Marg, E - Block, Block C, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Physics by Er. V.P Singh","094142 91214","Vaishali Nagar, Jaipur, Rajasthan 302021"
"Vansh Smart Classes Vaishali Branch","N/A","821, Vardhman near, Gandhi Path, Arpit Nagar, B Block, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Major HS Kalsi's Baalnoi Academy","099296 28149","Amrapali Marg, Block E, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Brain Academy","090241 72225","81, 82, 83, Mannat Residency, Green Colony Gali No-11, Moti Nagar, Akshar dham Mandir Road, Gandhi Path, Vaishali, Jaipur, Rajasthan 302021"
"Tutors point","093518 90052","9-A, Nand Vihar Colony, Vaishali Nagar, Jaipur, Rajasthan 302012"
"RG Online Classes /Home Tutors/Tutors in Delhi NCR Or Jaipur","N/A","B-127, Ganga Sagar-B, B Block, Vaishali Nagar, Jaipur, Rajasthan 302021"
"J. B. STUDY POINT","098870 26336","WP37+4WM, Lalarpura Rd, Maa Hinglaj Nagar, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Pt Home Tuitions","097840 15425","Vaishali Nagar, B 1/95, Chitrakoot, Jaipur, Rajasthan 302021"
"Concept Classes- A Path to your success","082792 55703","34, Nursery Cir, near SBI, Nemi Nagar Extension, Block A, Vaishali Nagar, Jaipur, Rajasthan 302021"
"EKLAVYA ACADEMY PVT. LTD. JAIPUR","094616 18062","5, Khatipura Rd, near Bharat petrol pump, Pratap Nagar, Hanuman Nagar, Jaipur, Rajasthan 302012"
"Aspirants Stock Market Institute","063502 86490","F3 First Floor, Bharat Apartment, Gandhi Path, opposite Global Heart Hospital, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Emversity Campus, Vaishali Nagar, Jaipur | A&OTT, MLT, ETCT & DT Courses","073531 48800","Harshit Mansion, 79 & 81, Gautam Marg, Shivraj Niketan Colony, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Success Point by S. K. Goyal","094143 45293","WP2J+G7H, Suryodaya Path, Chitrakoot, Jaipur, Rajasthan 302021"
"Vibrant Classes - French Language Classes | CBSE | IB | IGCSE Board Classes in Vaishali Nagar","082090 67471","Plot No. 25, Lower Basement, Hanuman Nagar - E, opposite Khandelwal Girls College, Vaishali Nagar, Jaipur, Rajasthan 302021"
"WeltVision Language & DHA Training Center","N/A","4/219, Chitrakoot Marg, Vaishali Nagar, Jaipur, Rajasthan 302021"
"COLONEL DEFENCE ACADEMY VAISHALI NAGAR JAIPUR","095302 41999","VAIBHAV TOWER, Vaishali Nagar, Jaipur, Rajasthan 302021"
"sainik school coaching vaishali nagar jaipur","N/A","plot no. 161 pawan putra G karni palace road, west, Vaishali Nagar, Jaipur, Rajasthan 302015"
"SUDARSHAN CLASSES","070141 19697","Abhinandan Vihar Colony, Panchyawala, Jaipur, Rajasthan 302034"
"Meridean Overseas Education Consultants in Jaipur (Study Abroad Consultants and Coaching for IELTS,GRE,GMAT and SAT)","0141 411 3363","1st Floor, Plot no 7, Vaishali Marg, Ganga Sagar-B, Nemi Nagar Extension, Block A, Vaishali Nagar, Jaipur, Rajasthan 302021"
"Concept Sarthi by Aman Avasthi","070144 10928","209, near ganesh temple, Ganga Sagar Scheme, Hanuman Nagar Extension, Rajendra Nagar, Vaishali Nagar, Jaipur, Rajasthan 302021"
