"company_name","phone_number","location"
"Coach DC The Gym","N/A","33, 1st Floor, Tonk Rd, near Gopalpura Mode, Indra Nagar, Gopalpura, Basant Vihar, Bajaj Nagar, Jaipur, Rajasthan 302018"
"Burnfit gym","082906 01516","Plot no. A-7, behind Mehta book depo, Telephone Colony, Bank Colony, Gopal Pura Mode, Jaipur, Rajasthan 302015"
"Personal Trainer at Home - Gym Trainer, Yoga Trainer, Fitness Trainer in Jaipur","082090 78475","C-387, Hans Marg, Block C, Malviya Nagar, Jaipur, Rajasthan 302017"
"The Workout Zone Gym and Fitness","097727 40126","111/206 Vijay Path, Madhyam Marg, near VMart, Jaipur, Rajasthan 302020"
"Fitness Pro Elite Mansarovar","093144 55664","near IPS School, Shanthi Nagar B, Shanthi Nagar, Mansarovar, Jaipur, Rajasthan 302019"
"FITNESS POINT GYM","096108 02222","Block C, Siddharth Nagar, Jagatpura, Jaipur, Rajasthan 302017"
"Unicorn Fitness Club","087643 60662","Aark tower, Mahal Road, near jagatpura flyover, Aarti Nagar, Railway Colony, Jagatpura, Jaipur, Rajasthan 302017"
"BODYFORCE FITNESS","073401 86673","1-A,1-B ,Vishnu vihar, Durgapura, Jaipur, Rajasthan 302018"
"The Muscle King Unisex Gym","095715 64989","1, Jagatpura Rd, Shyam Vihar Colony, Vishnupuri, Model Town, Malviya Nagar, Jaipur, Rajasthan 302017"
"Anytime Fitness","080580 51659","3rd floor, Mansarovar Plaza, Madhyam Marg, Mansarovar Sector 7, Agarwal Farm, Sector 9, Mansarovar, Jaipur, Rajasthan 302020"
"FIT TO THE CORE The Fitness Arena","097729 30555","319,Mahaveer Nagar-1st, 80 Feet Rd, near Gumaan Heritage Hotel, Durgapura, Jaipur, Rajasthan 302018"
"V-Fit Training Studio","N/A","1/7,First Floor, Shivanand Marg, near JKJ Jewellers, Sector 1, Malviya Nagar, Jaipur, Rajasthan 302017"
"Beauty & Fitness","095715 78452","1ST FLOOR, BEAUTY & FITNESS Gym, Tonk Rd, near GANGA GARDAN, near Morani Motors, Sitabari, Sanganer, Sita Bari, Jaipur, Rajasthan 302029"
"Prime fit gym sanganer","097835 55555","virendra tower, 302029, near c.t.s bus stand, Printers Colony, Dada Gurudev Nagar, Sanganer, Jaipur, Rajasthan 302029"
"Jaipur Pilates & Yoga Studio","096022 14924","A39, Gokul Vatika, Chandrakala Colony, Durgapura, Jaipur, Rajasthan 302018"
"Body Temple Gym","096673 19072","M-1, Tonk Rd, near Mehta Book Depot, Telephone Colony, Madhuvan Colony, Barkat Nagar, Tonk Phatak, Jaipur, Rajasthan 302015"
"Nutripulse - Yoga Classes In Jaipur | Dietician in Jaipur | Dr. Anjali Phatak","098291 98892","1st, 700, B-1 Basement, adjacent to Central Academy School, Mahaveer Nagar, Gopal Pura Mode, Jaipur, Rajasthan 302018"
"Kinetic fitness gym","082331 06364","Krishna Square, 3rd Floor, Nagar Nigam Rd, Sanganer, Jaipur, Rajasthan 302033"
"Musclefit India Unisex Gym | Jagatpura","085608 00724","Floor, E, RRJV+69X, 2nd and 3rd, 7, above Canara Bank, Anand Vihar, Railway Colony, Jagatpura, Jaipur, Rajasthan 302017"
"Yoga Therapy Center","N/A","Plot Number-5/305, Giridhar Marg, opposite Hotel Royal Empire, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017"
"Revolt Fitness","088246 15626","Petrol Pump, 1st Floor, Nitish Tower, near Maharani Farm, Durgapura, Jaipur, Rajasthan 302018"
"My Fitness Club","078918 04504","Ram Mandir, Tonk Rd, Sitabari, Kundan Nagar, Jaipur, Rajasthan 302029"
"Dream Fitness | Unisex Gym | Fitness Center","096496 11888","28, Gopalpura Bypass Rd, Ashok Vihar Extension, Vishveshvariya Nagar, Arjun Nagar, Jaipur, Rajasthan 302018"
"Aadiyog","094145 76046","20, Jai Shree Nagar, B/h Fortis Hospital, Jawahar Circle, Sector 8, Jaipur, Rajasthan 302018"
"R-Square Fitness","087400 76797","R-Square Fitness Gym ,GH-1,Sunny Square Appartment, Budhsinghpura, near Aabkari Police Thana, Sanganer, Jaipur, Rajasthan 302033"
"Fitness Future Gym N Spa","N/A","S.R. TOWAR, Kashida Galli, opp. CHODHARY PETROL STATION, near MIYA BAZAR, Sanganer, THANA, Jaipur, Rajasthan 302029"
"Tiger fitness","089495 58308","Vishal Mega Mart, Gopalpura Bypass Rd, Gangaram nagar Jaipur, Mangal Vihar, Shri Gopal Nagar, Arjun Nagar, Jaipur, Rajasthan 302015"
"Quantum Fitness","097820 36741","104, 71, Vijay Path, Sector 122, Sector 101, Sector 10, Mansarovar, Jaipur, Rajasthan 302020"
"VIEWSONIC FITNESS","077427 06706","Karwani's, 93/86, Vijay Path, Sector 9, Mansarovar, Jaipur, Rajasthan 302020"
"Usicly - Music, Dance & Yoga Studio","074140 56370","B-441, Block B, Vidyut Abhiyanta Colony, Sector 4, Malviya Nagar, Jaipur, Rajasthan 302017"
"Welfare Fitness Studio (Ladies Gym)","097824 59089","1st Floor, of Burger Farm & Brown Sugar, Madhyam Marg, Ward 27, Mansarovar Sector 8, Mansarovar, Jaipur, Rajasthan 302020"
"V2000 GYM & Fitness Centre","084498 57970","80/79, 1st Floor Madhyam Marg, Opposite Mansarovar Plaza, Mansarovar, Jaipur, Rajasthan 302020"
"Prime Fitness","093142 75175","Vishwa Vidhyalaya Nagar, Jagatpura, Jaipur, Rajasthan 302017"
"Discovery Fitness Gym","096101 00010","Bharave Colony, Dada Gurudev Nagar, Sanganer, Jaipur, Rajasthan 302029"
"INCARNATION - The Health Club","079765 00164","707, Surya Nagar Maharshi Marg, Gopalpura Bypass Rd, Jaipur, Rajasthan 302015"
"Jaipur Fitness Gym","096677 24698","Jagatpura Road, Hanuman Plaza Jagdish Puri colony, Jagatpura, Jaipur, Rajasthan 302017"
"BLACKFIT FITNESS CLUB","077280 77153","near Tejaji tample, Sachivalaya Vihar, Kalyanpura, 2nd, Jaipur, Rajasthan 302029"
"N.S. Fitness Gym","096806 46005","Ridhi Sidhi Circle, Mohan Nagar, Usha Vihar, Surya Nagar, Gopal Pura Mode, Jaipur, Rajasthan 302018"
"Strong Arm Gym(Hardcore & Fitness Club)","N/A","72-A, Jhil Mil Tower, Jagnnath Puri, Sheopur Rd, Pratap Nagar, Sanganer, Jaipur, Rajasthan 302033"
"Fitness Fort Gym","097857 00009","2nd, Krishna Nagar-B, Avadhpuri, Mahesh Nagar, Gopal Pura Mode, Jaipur, Rajasthan 302015"
"H & S Fitness Club & Gym","075976 00761","Plot No. 78, 100 feet road, opposite Mahima Panache, Nandpuri B, Sheopur, Pratap Nagar, Jaipur, Rajasthan 302033"
"Som Fitness Freak Gym Center","N/A","78 devi nagar near metro pillar no 79, near neha maternity hospital, New Sanganer Rd, Sodala, Jaipur, Rajasthan 302020"
"MUSCULER FITLINE AC UNISEX GYM","099284 07497","NO 2, P NO 8, Shivram Colony Rd, opp. GOLDEN DOOMS GATE, near PNB BANK JAGATPURA, Mayapuri, Jagatpura, Jaipur, Rajasthan 302017"
"Ram's Fitness Club IMPACT","097722 78888","111/14, Mangalam, Sector 11 Rd, Kumbha Marg, Pratap Nagar, Jaipur, Rajasthan 302033"
"360 Wellness","098292 90860","First Floor, C 225, Ganesh Marg, C-Block, Mahesh Nagar, Gopal Pura Mode, Jaipur, Rajasthan 302015"
"Fitness By Yash","088903 59793","near, 319, station, Mahaveer Nagar, Durgapura, Jaipur, Rajasthan 302018"
"Ironparadise fitness club","N/A","plot no, 3, Muhana Rd, Krishna Nagar, Mansarovar, Jaipur, Rajasthan 302020"
"Body Temple Gym 2","096673 19072","Plot No.8, near prince hotel, Ambedkar Nagar, Tonk Phatak, Jaipur, Rajasthan 302015"
"Fitness Zone Gym","093142 61131","184 Veshvesvaraiya Nagar extension, Veshvesvaraiya Nagar, Jaipur, Rajasthan 302018"
"Pragya Yoga Alliance","091660 46697","Plot No. 56, Mauji Colony, Pradhan Marg, Malviya Nagar, Jaipur, Rajasthan 302017"
"Lifetime Fitness Club - Best Gym In Jagatpura | Best Gym","099505 50182","B/C 55 Central Spine, H B Tower, near Akshay Patra Mandir, Jagatpura, Jaipur, Rajasthan 302017"
"Fitness Force Gym","072199 09555","A-10, Netaji Subhash Nagar 2, Shiv Colony, Tonk Phatak, Jaipur, Rajasthan 302018"
